w1; Jeśli zarabiamy w złotych i mieszkamy w Polsce, i tak możemy zaciągnąć kredyt na mieszkanie w obcej walucie
w2; W klasycznym modelu podaży-popytu-ceny gdy cena akcji rośnie, ich podaż spada
w3; Optymalizacja podatkowa jest w Polsce legalna
w4; Stopa bezrobocia oznacza liczbę zarejestrowanych osób bez pracy w stosunku do liczby osób pełnoletnich
w5; Odsetek mieszkań własnościowych w Polsce jest niższy niż w Niemczech
w6; Dywidenda może być wypłacana zarówno właścicielom akcji, jak i właścicielom obligacji
w7; Znajomość poziomu dochodów i poziomu opodatkowania wystarcza do określenia siły nabywczej
w8; Jeśli waluta danego kraju się umacnia, oznacza to sytuację korzystną dla eksportu tego kraju
w9; Dla inwestora giełdowego kosztem stałym jest opłata za prowadzenie rachunku maklerskiego
w10; Neoliberałowie popierają finansowanie przez państwo systemu sądownictwa
w11; Jeśli chodzi o rolę państwa w gospodarce, leseferyści mają podobne poglądy do przedstawicieli szkoły austriackiej
w12; Polskie przedsiębiorstwo państwowe może być jednocześnie spółką akcyjną
w13; Jeśli odsetki są reinwestowane, to przy danym oprocentowaniu lokaty miesięczna kapitalizacja będzie bardziej korzystna dla klienta od kapitalizacji rocznej
w14; Ryzyko systematyczne jest mierzone parametrem beta
w15; Podatkiem CIT są obłożone towary i usługi
w16; Bezrobocie strukturalne jest zjawiskiem typowym dla obszarów, w których zamknięto niedawno duże zakłady przemysłowe
w17; W krajach Europy Zachodniej ponad 75% osób zarabia powyżej średniej krajowej
w18; Przedsiębiorstwo może wyemitować własne papiery wartościowe
w19; Miasta o niskim poziomie bezrobocia mają zazwyczaj ujemne saldo migracyjne
w20; Udział wydatków na służbę zdrowia w stosunku do PKB jest niższy w USA niż w Polsce
w21; Podatkiem VAT obłożone są takie produkty jak np. ubrania
w22; Pieniądze pożyczane przez banki muszą mieć pokrycia w złocie
w23; Wyższy poziom redystrybucji dochodu jest bezpośrednio korzystny dla osób zamożnych
w24; J. M. Keynes opowiadał się za tym, by państwo (rząd) aktywnie uczestniczyło w tworzeniu miejsc pracy
w25; Spread to różnica pomiędzy kursem (ceną) zakupu a kursem (ceną) sprzedaży
w26; Jeśli dochody opodatkowane są podatkiem progresywnym, może się zdarzyć, że osoba X płaci podatek w wysokości 40% jej wynagrodzenia, a osoba Y w wysokości 20%
w27; W związkach zawodowych mogą zrzeszać się pracownicy zatrudnieni na umowę o dzieło
w28; Rating na poziomie AAA powoduje, że dany podmiot może pożyczać pieniądze na korzystniejszych warunkach niż podmiot z ratingiem BBB (przy pozostałych warunkach niezmienionych)
w29; Podatek liniowy polega na tym, że - w uproszczeniu - każdy wpłaca ten sam procent swoich dochodów do budżetu państwa
w30; Fundusz inwestujący na giełdzie w akcje zapewni klientowi indywidualnemu pewniejszy dochód niż taki, który inwestuje w obligacje skarbowe
