id;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;w15;w16;w17;w18;w19;w20;w21;w22;w23;w24;w25;w26;w27;w28;w29;w30;państwo_oś;macierz_gospodarcze;macierz_społeczne;wykszt_ojca;wykszt_matki;rok_studiów;kierunek_studiów;praca;miejsc_pochodzenia;rok_urodzenia;płeć
s1;2;1;1;3;1;2;2;1;2;1;1;1;1;1;2;1;1;2;1;1;1;2;2;1;2;1;2;1;2;2;2;1;2;2;1;1;1;2;1;2;1;1;1;1;2;1;1;1;1;2;1;1;2;3;3;3;5;5;3;FIR;2;1;1993;2
s2;2;1;2;2;2;1;1;1;2;3;1;1;1;1;;1;1;2;1;1;1;2;2;1;2;1;2;2;2;2;2;1;2;1;1;1;1;2;1;2;1;2;2;1;2;2;1;2;1;1;1;1;2;3;3;4;5;5;3;FIR;2;1;1993;1
s3;2;1;1;2;2;2;1;2;1;2;2;1;2;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;2;2;2;1;1;2;1;1;1;2;1;1;1;1;1;1;2;2;2;1;1;1;1;1;2;3;4;3;5;5;3;FIR;2;2;1993;2
s4;2;2;2;2;1;3;2;1;2;3;3;1;1;1;2;3;1;1;1;3;1;3;1;1;2;1;2;1;1;2;1;1;2;1;1;1;2;2;1;2;1;2;1;1;2;1;1;2;1;2;1;1;2;7;3;3;5;5;2;FIR;1;2;1994;2
s5;2;1;1;2;1;2;2;1;1;2;2;2;1;2;2;1;1;2;1;1;1;2;2;1;2;1;2;1;2;2;2;1;2;1;1;1;1;2;1;2;1;1;1;1;2;2;2;2;1;1;1;1;2;3;3;1;5;5;2;FIR;1;1;1994;1
s6;2;1;2;2;3;2;1;2;2;2;2;2;2;1;2;1;1;1;1;1;1;2;2;2;2;1;2;2;2;2;1;1;1;1;1;1;2;2;1;2;1;2;1;1;2;2;1;1;1;2;1;1;2;4;3;2;5;5;2;FIR + Filozofie;2;4;1994;2
s7;2;1;2;2;1;1;2;2;2;2;1;2;2;1;2;1;1;1;2;1;1;2;3;1;2;1;2;1;2;2;2;1;2;2;1;1;1;2;1;2;1;2;1;1;2;2;1;1;1;2;1;1;2;3;3;3;5;5;2;FIR;2;1;1994;2
s8;1;2;2;2;2;2;1;1;1;2;1;1;2;1;2;2;1;1;1;1;1;2;1;1;2;;2;1;2;2;2;1;1;1;1;1;1;2;1;2;1;1;1;1;2;1;1;1;1;2;2;1;2;2;4;3;5;5;3;FIR;3;4;1992;2
s9;2;2;2;1;3;2;2;2;2;1;2;1;3;1;2;1;1;1;1;1;1;2;3;1;2;1;1;1;2;2;2;1;1;2;1;1;1;2;1;2;1;1;1;1;2;2;2;1;1;1;1;1;2;4;3;3;5;5;3;FIR;2;4;1993;1
s10;1;1;1;2;1;2;1;1;1;1;3;3;3;1;2;3;3;3;1;1;1;1;1;1;2;1;1;2;1;2;2;2;2;2;1;1;2;1;1;2;1;2;1;1;2;2;2;1;1;2;1;1;2;2;4;2;5;5;2;FIR;2;3;1994;1
