"id"	"o1"	"o2"	"o3"	"o4"	"o5"	"o6"	"o7"	"o8"	"o9"	"o10"	"o11"	"o12"	"o13"	"o14"	"o15"	"o16"	"o17"	"o18"	"o19"	"o20"	"o21"	"o22"	"o23"	"k1"	"k2"	"k3"	"k4"	"k5"	"k6"	"k7"	"k8"	"k10"	"k11"	"k12"	"k13"	"k14"	"k15"	"k16"	"k17"	"k18"	"k19"	"k20"	"k21"	"k22"	"k23"	"k24"	"k25"	"k26"	"k27"	"k28"	"k29"	"k30"	"leseferism-etatism"	"mat_econimic"	"mat_social"	"father_edu"	"mother_edu"	"year_at_uni"	"uni_programme"	"work_experience"	"hometown_size"	"birthdate"	"gender"	"age"
"1"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	NA	1	1	0	0	1	0	0	0	1	1	0	0	0	1	0	1	1	0	1	1	0	0	1	1	0	1	0	0	8	3	3	"higher_edu"	"high_school"	"BA_3"	"Administration"	"1_year+"	"<1k-5k"	1993	"female"	22
"2"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	0	1	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	1	0	1	1	0	6	2	3	"higher_edu"	"higher_edu"	"BA_1"	"Finance/Actuarial"	"Up_to_1_year"	">100k"	1995	"male"	20
"3"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	NA	0	NA	0	NA	1	1	0	NA	NA	1	1	1	0	1	1	1	1	0	1	1	0	0	NA	0	1	NA	0	0	2	3	2	"higher_edu"	"high_school"	"BA_2"	"Economy"	"1_year+"	">100k"	1994	"female"	21
"4"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"DontKnow"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	1	0	1	0	0	1	0	1	0	0	1	0	0	0	1	1	1	0	1	1	1	0	1	1	1	1	0	1	0	3	4	4	"high_school"	"higher_edu"	"BA_2"	"Economy"	"1_year+"	">100k"	1992	"male"	23
"5"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Agree"	"Disagree"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	1	1	0	0	1	0	0	1	1	0	1	0	0	0	1	0	1	0	1	1	0	1	0	1	1	1	0	1	1	6	3	2	"high_school"	"vocational"	"BA_2"	"Finance/Actuarial"	NA	">100k"	1993	"male"	22
"6"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"DontKnow"	"Disagree"	"Agree"	"DontKnow"	"DontKnow"	"Agree"	"Disagree"	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	1	1	0	0	1	0	0	1	1	1	0	1	1	0	7	3	1	"high_school"	"high_school"	"BA_1"	"Finance/Actuarial"	"1_year+"	"<1k-5k"	1994	"female"	21
"7"	"DontKnow"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	1	1	1	1	0	0	1	1	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	0	1	0	6	3	3	"high_school"	"high_school"	"BA_2"	"Finance/Actuarial"	"Up_to_1_year"	"5k-20k"	1993	"male"	22
"8"	"Agree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	1	0	1	0	1	1	1	0	0	1	1	NA	1	0	1	0	1	1	0	0	1	0	1	NA	1	0	1	1	0	3	3	2	"high_school"	"vocational"	"BA_3"	"Economy"	"Up_to_1_year"	"5k-20k"	1992	"male"	23
"9"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Agree"	"Agree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Agree"	"Disagree"	1	1	1	0	1	0	0	0	1	1	1	1	0	0	1	0	1	1	1	1	1	0	1	0	1	0	1	1	0	4	3	3	"higher_edu"	"high_school"	"BA_2"	"Economy"	"1_year+"	">100k"	1993	"male"	22
"10"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Agree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"DontKnow"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"Disagree"	"Disagree"	"Agree"	"Disagree"	"DontKnow"	"Disagree"	1	0	1	1	1	0	1	1	0	0	0	1	1	0	1	0	1	1	1	1	0	0	1	1	1	0	0	1	0	4	3	3	"high_school"	"high_school"	"BA_2"	"Finance/Actuarial"	NA	"5k-20k"	1993	"female"	22
