id;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10;p11;p12;p13;p14;p15;p16;p17;p18;p19;p20;p21;p22;p23;w1;w2;w3;w4;w5;w6;w7;w8;w9;w10;w11;w12;w13;w14;w15;w16;w17;w18;w19;w20;w21;w22;w23;w24;w25;w26;w27;w28;w29;w30;państwo_oś;macierz_gospodarcze;macierz_społeczne;wykszt_ojca;wykszt_matki;rok_studiów;kierunek_studiów;praca;miejsc_pochodzenia;rok_urodzenia;płeć
1;2;2;2;2;1;1;1;2;1;1;1;2;1;2;1;2;3;1;2;2;2;1;1;;1;1;2;2;1;2;2;1;2;1;1;2;2;2;1;2;1;1;2;1;1;2;2;1;1;2;1;2;2;8;3;3;5;4;3;administracja publiczna i regionalny rozwój;3;2;1993;1
2;2;2;2;2;2;2;1;2;1;2;1;2;3;3;2;2;2;2;2;1;1;2;2;2;1;1;1;2;2;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;1;2;1;1;1;2;1;1;2;6;2;3;5;5;1;FIN;2;5;1995;2
3;1;2;2;1;1;1;2;1;2;1;2;2;1;2;1;2;2;1;2;2;2;1;1;;2;;2;;1;1;2;1;;;1;1;1;2;1;1;1;1;2;1;1;2;2;;2;1;;2;2;2;3;2;5;4;2;EKO;3;5;1994;1
4;2;1;1;1;1;1;2;3;1;2;3;2;1;2;1;1;2;1;2;2;2;1;3;1;2;1;2;2;1;2;1;1;2;2;1;2;2;2;1;1;1;2;1;1;1;2;1;1;1;1;2;1;2;3;4;4;4;5;2;G. NAR;3;5;1992;2
5;1;3;1;2;1;3;1;2;1;3;1;2;1;3;2;2;2;2;1;1;1;2;2;1;1;2;2;1;2;2;1;1;1;2;1;2;2;2;1;2;1;2;1;1;2;1;2;1;1;1;2;1;1;6;3;2;4;3;2;PODATKI;0;5;1993;2
6;2;2;1;2;2;2;1;1;2;2;2;2;2;2;2;2;3;2;1;3;3;1;2;1;1;1;1;1;2;1;1;1;1;1;2;1;1;2;1;1;1;2;2;1;2;2;1;1;1;2;1;1;2;7;3;1;4;4;1;PODATKI;3;2;1994;1
7;3;1;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;1;2;1;1;2;2;1;1;1;1;2;2;1;1;1;2;2;1;1;2;2;1;1;1;1;1;1;2;2;2;1;1;1;2;1;2;6;3;3;4;4;2;BANK;2;3;1993;2
8;1;1;1;2;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;2;2;2;1;1;2;1;2;1;1;1;2;1;2;1;1;;1;2;1;2;1;1;2;2;1;2;1;;1;2;1;1;2;3;3;2;4;3;3;G. NAR;2;3;1992;2
9;2;2;1;2;2;1;2;1;1;1;1;2;1;2;1;2;2;2;2;1;2;1;2;1;1;1;2;1;2;2;2;1;1;1;1;1;2;2;1;2;1;1;1;1;1;2;1;2;1;2;1;1;2;4;3;3;5;4;2;G. NAR;3;5;1993;2
10;1;1;2;2;1;1;2;2;2;2;1;3;2;2;2;1;2;2;2;1;2;3;2;1;2;1;1;1;2;1;1;1;2;2;2;1;1;2;1;2;1;1;1;1;2;2;1;1;1;2;2;1;2;4;3;3;4;4;2;BANK;0;3;1993;1
